opponent,result,date,method
Jack Della Maddalena,win,"Nov. 15, 2025",N/A
Renato Moicano,win,"Jan. 18, 2025",Submission (D'Arce Choke)
Dustin Poirier,win,"Jun. 01, 2024",Submission (D'Arce Choke)
Alexander Volkanovski,win,"Oct. 21, 2023",KO/TKO (Kick)
Alexander Volkanovski,win,"Feb. 11, 2023",N/A
Charles Oliveira,win,"Oct. 22, 2022",Submission (Arm Triangle)
King Green,win,"Feb. 26, 2022",KO/TKO (Punches)
Dan Hooker,win,"Oct. 30, 2021",Submission (Kimura)
Thiago Moises,win,"Jul. 17, 2021",Submission (Rear Naked Choke)
Drew Dober,win,"Mar. 06, 2021",Submission (Arm Triangle)
Davi Ramos,win,"Sep. 07, 2019",N/A
Arman Tsarukyan,win,"Apr. 20, 2019",N/A
Kajan Johnson,win,"Jul. 28, 2018",Submission (Armbar)
Gleison Tibau,win,"Jan. 20, 2018",KO/TKO (Punch)
Nik Lentz,win,"Feb. 11, 2017",N/A
Chris Wade,win,"Sep. 17, 2016",N/A
Adriano Martins,loss,"Oct. 03, 2015",KO/TKO (Punch)
Leo Kuntz,win,"May. 23, 2015",Submission (Rear Naked Choke)
